W	100003910172632	12.718696594238281
W	100003910172632	14.178834676742554
W	100003910172632	15.607279300689697
W	100003910172632	17.04001498222351
A	100003910172632	18.41606307029724
W	100003910172632	19.74504518508911
W	100003910172632	20.88500213623047
D	100003910172632	22.1349880695343
W	100003910172632	23.240217208862305
W	100003910172632	25.26106548309326
A	100003910172632	26.838710069656372
W	100003910172632	27.906367540359497
W	100003910172632	29.2781879901886
W	100003910172632	30.474929094314575
W	100003910172632	32.13902139663696
W	100003910172632	34.873820781707764
A	100003910172632	36.286932945251465
W	100003910172632	37.48618936538696
W	100003910172632	39.604812145233154
W	100003910172632	41.5097177028656
D	100003910172632	42.845905780792236
W	100003910172632	44.193932056427
W	100003910172632	45.529136657714844
W	100003910172632	46.76699376106262
W	100003910172632	48.13835692405701
W	100003910172632	50.9997296333313
W	100003910172632	52.439056396484375
D	100003910172632	54.46835732460022
W	100003910172632	57.59673595428467
A	100003910172632	59.12968182563782
W	100003910172632	60.46195316314697
W	100003910172632	61.915260314941406
W	100003910172632	63.29581832885742
W	100003910172632	64.87425565719604
W	100003910172632	67.05733942985535
We	100003910172632	69.92602491378784
D	100003910172632	71.13058185577393
D	100003910172632	72.5011773109436
D	100003910172632	73.64566111564636
W	100003910172632	74.76369166374207
W	100003910172632	76.09596228599548
W	100003910172632	77.58037781715393
A	100003910172632	78.9767758846283
W	100003910172632	81.88335990905762
W	100003910172632	83.31709909439087
W	100003910172632	84.5649082660675
W	100003910172632	85.9633846282959
W	100003910172632	87.20039391517639
W	100003910172632	88.43090605735779
W	100003910172632	89.6608374118805
W	100003910172632	91.01658034324646
W	100003910172632	92.18051552772522
W	100003910172632	93.39252758026123
W	100003910172632	94.6152024269104
W	100003910172632	95.82960224151611
D	100003910172632	98.106125831604
W	100003910172632	99.49990963935852
A	100003910172632	100.97494530677795
W	100003910172632	102.89853978157043
D	100003910172632	104.44271898269653
W	100003910172632	105.73164248466492
W	100003910172632	107.01709771156311
W	100003910172632	109.56433248519897
A	100003910172632	111.44915986061096
W	100003910172632	112.91553497314453
W	100003910172632	115.46315383911133
None	100003910172632	115.7162857055664
W	100003910172632	115.95949912071228
W	100003910172632	118.09536933898926
D	100003910172632	120.50927686691284
W	100003910172632	121.7720468044281
None	100003910172632	122.60203909873962
A	100003910172632	124.2793140411377
W	100003910172632	125.89824199676514
A	100003910172632	127.4493613243103
A	100003910172632	128.6328227519989
W	100003910172632	131.81755208969116
W	100003910172632	133.3204309940338
W	100003910172632	134.73690843582153
W	100003910172632	136.1289930343628
W	100003910172632	137.4072105884552
W	100003910172632	139.43326663970947
W	100003910172632	140.77867221832275
W	100003910172632	141.96037411689758
D	100003910172632	143.17763710021973
W	100003910172632	144.5807065963745
A	100003910172632	146.36125898361206
W	100003910172632	147.81146001815796
W	100003910172632	149.50186610221863
W	100003910172632	150.90905451774597
D	100003910172632	152.25019574165344
W	100003910172632	153.5412404537201
A	100003910172632	156.80254888534546
W	100003910172632	158.06284093856812
D	100003910172632	159.42952179908752
W	100003910172632	161.31930494308472
W	100003910172632	162.6931312084198
W	100003910172632	163.85033202171326
W	100003910172632	165.58979535102844
W	100003910172632	166.94690036773682
A	100003910172632	169.06348991394043
W	100003910172632	171.0947699546814
